iter	Passed	Remaining
743	1782	613
744	1785	610
745	1787	608
746	1789	606
747	1791	603
748	1793	601
749	1795	598
750	1798	596
751	1800	593
752	1802	591
753	1803	588
754	1805	585
755	1806	583
756	1808	580
757	1811	578
758	1813	575
759	1815	573
760	1816	570
761	1818	567
762	1820	565
763	1822	562
764	1824	560
765	1826	558
766	1828	555
767	1830	552
768	1832	550
769	1834	547
770	1836	545
771	1837	542
772	1839	540
773	1842	537
774	1844	535
775	1846	532
776	1847	530
777	1849	527
778	1850	525
779	1852	522
780	1856	520
781	1858	518
782	1860	515
783	1862	513
784	1864	510
785	1866	508
786	1867	505
787	1869	503
788	1872	500
789	1874	498
790	1876	495
791	1877	493
792	1879	490
793	1881	488
794	1883	485
795	1885	483
796	1888	480
797	1889	478
798	1891	475
799	1892	473
800	1894	470
801	1896	468
802	1898	465
803	1900	463
804	1904	461
805	1905	458
806	1907	456
807	1909	453
808	1910	451
809	1912	448
810	1914	446
811	1917	443
812	1919	441
813	1921	439
814	1923	436
815	1924	434
816	1926	431
817	1928	429
818	1930	426
819	1933	424
820	1935	421
821	1936	419
822	1938	416
823	1939	414
824	1941	411
825	1942	409
826	1945	406
827	1947	404
828	1949	402
829	1951	399
830	1952	397
831	1954	394
832	1956	392
833	1958	389
834	1959	387
835	1962	384
836	1964	382
837	1966	380
838	1968	377
839	1969	375
840	1971	372
841	1973	370
842	1977	368
843	1979	365
844	1980	363
845	1982	360
846	1984	358
847	1985	355
848	1987	353
849	1989	351
850	1991	348
851	1993	346
852	1995	343
853	1997	341
854	1998	338
855	2000	336
856	2002	334
857	2003	331
858	2005	329
859	2007	326
860	2009	324
861	2011	321
862	2012	319
863	2013	317
864	2015	314
865	2016	312
866	2018	309
867	2019	307
868	2021	304
869	2024	302
870	2026	300
871	2027	297
872	2029	295
873	2030	292
874	2032	290
875	2033	287
876	2035	285
877	2037	283
878	2039	280
879	2041	278
880	2042	275
881	2044	273
882	2046	271
883	2048	268
884	2049	266
885	2053	264
886	2055	261
887	2056	259
888	2058	256
889	2060	254
890	2061	252
891	2063	249
892	2064	247
893	2065	244
894	2068	242
895	2069	240
896	2071	237
897	2072	235
898	2074	233
899	2076	230
900	2077	228
901	2079	225
902	2081	223
903	2083	221
904	2085	218
905	2087	216
906	2089	214
907	2091	211
908	2093	209
909	2094	207
910	2095	204
911	2099	202
912	2101	200
913	2102	197
914	2104	195
915	2106	193
916	2107	190
917	2108	188
918	2110	185
919	2114	183
920	2116	181
921	2118	179
922	2119	176
923	2121	174
924	2123	172
925	2124	169
926	2126	167
927	2131	165
928	2133	163
929	2135	160
930	2136	158
931	2138	156
932	2140	153
933	2142	151
934	2145	149
935	2147	146
936	2149	144
937	2151	142
938	2152	139
939	2154	137
940	2156	135
941	2158	132
942	2161	130
943	2163	128
944	2165	126
945	2167	123
946	2168	121
947	2170	119
948	2172	116
949	2175	114
950	2177	112
951	2179	109
952	2181	107
953	2183	105
954	2185	103
955	2187	100
956	2194	98
957	2195	96
958	2197	93
959	2199	91
960	2201	89
961	2202	87
962	2204	84
963	2209	82
964	2211	80
965	2213	77
966	2215	75
967	2216	73
968	2217	70
969	2220	68
970	2222	66
971	2225	64
972	2227	61
973	2229	59
974	2231	57
975	2232	54
976	2234	52
977	2238	50
978	2240	48
979	2242	45
980	2244	43
981	2245	41
982	2247	38
983	2248	36
984	2250	34
985	2253	31
986	2255	29
987	2256	27
988	2258	25
989	2260	22
990	2261	20
991	2263	18
992	2264	15
993	2268	13
994	2269	11
995	2271	9
996	2273	6
997	2274	4
998	2276	2
999	2277	0
